,Player Name,Season,Team Name,Fminside Link
0,Mateusz Lis ,2020/2021,Wisła Kraków,https://fminside.net/players/2-fm-22/96075388-mateusz-lis
1,Lukas Klemenz ,2020/2021,Wisła Kraków,https://fminside.net/players/2-fm-22/96054982-lukas-klemenz
2,David Niepsuj ,2020/2021,Wisła Kraków,https://fminside.net/players/2-fm-22/91142977-david-niepsuj
3,Rafal Janicki ,2020/2021,Wisła Kraków,https://fminside.net/players/2-fm-22/96017945-rafal-janicki
4,Maciej Sadlok ,2020/2021,Wisła Kraków,https://fminside.net/players/2-fm-22/54007366-maciej-sadlok
5,Kamil Wojtkowski ,2020/2021,Wisła Kraków,https://fminside.net/players/2-fm-22/96080078-kamil-wojtkowski
6,Chuca ,2020/2021,Wisła Kraków,https://fminside.net/players/2-fm-22/67227812-chuca
7,Rafal Boguski ,2020/2021,Wisła Kraków,https://fminside.net/players/2-fm-22/721140-rafal-boguski
8,Mateusz Holownia ,2020/2021,Wisła Kraków,https://fminside.net/players/2-fm-22/96067536-mateusz-holownia
9,Vullnet Basha ,2020/2021,Wisła Kraków,https://fminside.net/players/2-fm-22/69002759-vullnet-basha
10,Alon Turgeman ,2020/2021,Wisła Kraków,https://fminside.net/players/2-fm-22/42022993-alon-turgeman
11,Adam Buksa ,2020/2021,Wisła Kraków,https://fminside.net/players/2-fm-22/96055358-adam-buksa
12,Dariusz Pawlowski ,2020/2021,Wisła Kraków,https://fminside.net/players/2-fm-22/96113781-dariusz-pawlowski
13,Lubomir Tupta ,2020/2021,Wisła Kraków,https://fminside.net/players/2-fm-22/43206262-lubomir-tupta
14,Marek Koziol ,2020/2021,Korona Kielce,https://fminside.net/players/2-fm-22/96008867-marek-koziol
15,Michael Gardawski ,2020/2021,Korona Kielce,https://fminside.net/players/2-fm-22/35014356-michael-gardawski
16,Adnan Kovacevic ,2020/2021,Korona Kielce,https://fminside.net/players/2-fm-22/62076853-adnan-kovacevic
17,Themistoklis Tzimopoulos ,2020/2021,Korona Kielce,https://fminside.net/players/2-fm-22/690943-themistoklis-tzimopoulos
18,Grzegorz Szymusik ,2020/2021,Korona Kielce,https://fminside.net/players/2-fm-22/96092190-grzegorz-szymusik
19,Petteri Forsell ,2020/2021,Korona Kielce,https://fminside.net/players/2-fm-22/33004450-petteri-forsell
20,Jakub Zubrowski ,2020/2021,Korona Kielce,https://fminside.net/players/2-fm-22/96029283-jakub-zubrowski
21,Daniel Szelagowski ,2020/2021,Korona Kielce,https://fminside.net/players/2-fm-22/96159204-daniel-szelagowski
22,Marcin Cebula ,2020/2021,Korona Kielce,https://fminside.net/players/2-fm-22/96047865-marcin-cebula
23,Milan Radin ,2020/2021,Korona Kielce,https://fminside.net/players/2-fm-22/62073136-milan-radin
24,Jakub Kielb ,2020/2021,Korona Kielce,https://fminside.net/players/2-fm-22/96025073-jakub-kielb
25,Iwo Kaczmarski ,2020/2021,Korona Kielce,https://fminside.net/players/2-fm-22/2000012809-iwo-kaczmarski
26,Wiktor Dlugosz ,2020/2021,Korona Kielce,https://fminside.net/players/2-fm-22/96117528-wiktor-dlugosz
27,Mateusz Spychala ,2020/2021,Korona Kielce,https://fminside.net/players/2-fm-22/96075389-mateusz-spychala
28,Krzysztof Kaminski ,2020/2021,Wisła Płock,https://fminside.net/players/2-fm-22/2000047409-krzysztof-kaminski
