,id,firstName,lastName,club,values,wages,contractexpires,nation,currentAbility,potentialAbility,position,version,date,aerialReach,commandofArea,communication,eccentricity,firstTouch,handling,kicking,oneonOnes,passing,punchingTendency,reflexes,rushingoutTendency,throwing,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,offtheBall,positioning,teamwork,vision,workRate,acceleration,agility,balance,jumpingReach,naturalFitness,pace,stamina,strength,freeKickTaking,penaltyTaking,technique
0,12029963,Yassine,Bounou,Sevilla,€ 57.064.450,€ 58.340,2024-06-30,Morocco,75,76,GK,22,2021-11-8,14,15,15,4,7,16,15,16,7,11,15,9,15,7,12,13,14,16,14,12,6,11,2,15,15,8,13,10,13,9,15,10,13,11,14,9,2,5
1,12029963,Yassine,Bounou,Sevilla,€ 31.500.000,€ 36.000,2024-06-30,Morocco,72,74,GK,21,2020-11-23,13,15,15,4,7,16,15,14,7,11,15,9,15,7,12,11,14,16,13,12,6,9,2,15,15,8,13,10,13,9,15,10,13,11,14,7,3,5
2,35017428,Marc-André ter,Stegen,FC Barcelona,€ 500.177.000,€ 165.060,2025-06-30,Germany,87,92,GK,22,2021-11-8,13,15,15,12,13,14,19,14,17,10,18,18,17,11,17,15,18,15,13,18,5,14,3,12,14,9,10,14,14,16,16,15,11,13,15,11,1,14
3,35017428,Marc-André ter,Stegen,FC Barcelona,€ 500.000.000,€ 165.000,2025-06-30,Germany,87,92,GK,21,2020-11-23,13,15,15,12,13,14,19,14,17,10,18,18,17,11,17,15,18,15,13,18,5,14,2,12,14,9,10,14,14,16,16,15,11,13,15,7,3,14
4,59006259,Grigor,Meliksetyan,Ararat Yerevan,€ 22.258,€ 230,2022-06-30,Armenia,47,47,GK,22,2021-11-8,11,17,13,5,7,11,12,12,12,16,11,8,14,10,8,12,7,10,7,4,2,6,2,9,11,9,12,8,9,16,13,18,9,17,19,6,3,4
6,713854,Artur,Boruc,Legia Warszawa,€ 27.755,€ 4.390,2022-06-30,Poland,60,70,GK,22,2021-11-8,14,14,16,13,7,14,10,15,12,11,15,16,15,12,14,13,14,9,11,18,3,15,8,14,11,7,9,6,12,10,15,12,6,5,13,9,5,11
7,713854,Artur,Boruc,Legia Warszawa,€ 26.000,€ 4.500,2021-06-30,Poland,61,70,GK,21,2020-11-23,14,15,16,13,7,14,10,15,12,11,15,16,15,12,14,13,14,9,11,17,3,11,8,14,11,8,9,6,13,10,15,10,6,8,15,6,5,11
8,8404400,Pavels,Šteinbors,Jagiellonia Białystok,€ 32.000,€ 2.270,2022-06-30,Latvia,56,57,GK,22,2021-11-8,14,12,11,4,4,14,10,12,11,8,16,12,11,8,11,11,9,10,12,11,3,10,1,12,12,11,11,8,12,11,15,13,8,10,13,6,3,6
9,8404400,Pavels,Šteinbors,Jagiellonia Białystok,€ 48.500,€ 2.300,2022-06-30,Latvia,56,57,GK,21,2020-11-23,14,12,11,4,4,14,10,12,13,8,16,12,11,8,11,11,9,10,12,11,2,10,2,12,10,10,11,8,12,11,15,13,8,10,13,6,2,4
10,92017506,Odysseas,Vlachodimos,SL Benfica,€ 60.021.240,€ 28.970,2024-06-30,Greece,72,73,GK,22,2021-11-8,14,8,10,4,9,15,13,16,8,13,18,7,14,11,14,13,12,14,13,13,4,10,3,15,13,9,13,13,16,12,15,14,12,13,12,8,3,8
11,92017506,Odysseas,Vlachodimos,SL Benfica,€ 60.000.000,€ 24.000,2024-06-30,Greece,72,76,GK,21,2020-11-23,14,10,12,4,11,13,14,16,12,13,17,5,14,10,12,14,12,14,13,13,4,10,3,15,13,11,13,13,15,12,15,14,11,11,11,9,5,10
12,96075388,Mateusz,Lis,Altay SK,€ 1.590.298,€ 2.000,2025-06-30,Poland,54,62,GK,22,2021-11-8,14,10,12,6,10,13,11,13,11,16,14,11,11,5,11,12,8,10,10,13,5,12,6,11,10,11,9,11,12,12,17,10,11,8,10,7,3,9
13,96075388,Mateusz,Lis,Wisła Kraków,€ 23.000,€ 500,2021-06-30,Poland,52,62,GK,21,2020-11-23,14,12,12,6,10,13,11,13,11,16,14,13,11,5,11,11,8,9,10,13,5,12,6,11,10,11,9,11,12,12,17,10,11,8,10,7,3,9
