,Date,Match Details,club,Player Name,MinsPlayed,TotalDistance(m),TopSpeed(km/h),AvgSpeed(km/h),HighIntensityActivity,Sprints(> 25.20 km/h)Dist (m),HSR(19.81-25.20 km/h)Dist (m),Distance (m)14.41-19.80km/h,7.21-14.40km/h,0.73-7.20km/h,< 0.72km/h,PDF Name,Young Player,Sprints(> 25.20 km/h) No,HSR(19.81-25.20 km/h) No,Key,season,lastName,firstName,Unnamed: 0,id,values,wages,contractexpires,nation,currentAbility,potentialAbility,position,date,corners,crossing,dribbling,finishing,firstTouch,freeKickTaking,heading,longShots,longThrows,marking,passing,penaltyTaking,tackling,technique,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,offtheBall,positioning,teamwork,vision,workRate,acceleration,agility,balance,jumpingReach,naturalFitness,pace,stamina,strength
0,2020-07-11,Wisła Kraków 1 - 1 Korona Kielce,Wisła Kraków,Chuca,48:26,"5611,35","28,99","6,95",43,"82,28","508,57","1000,97","2397,02","1599,28","23,23",12429_filter_live_1.pdf,False,6,37,2020-07-11 Wisła Kraków 1 - 1 Korona Kielce,2020/2021,Chuca,,89,67227812,€ 53.000,€ 1.800,2022-06-30,Spain,52,58,MC,2020-11-23,13,12,12,10,11,9,6,9,4,10,13,10,9,13,3,10,9,10,11,12,13,11,7,11,10,13,13,10,13,13,12,9,8,11,10,7
1,2020-10-18,PGE FKS Stal Mielec 0 - 6 Wisła Kraków,Wisła Kraków,Chuca,90:23,"11409,94","29,54","7,57",61,"149,74","727,08","2263,44","5014,13","3182,63","72,92",12502_filter_live_1.pdf,False,11,50,2020-10-18 PGE FKS Stal Mielec 0 - 6 Wisła Kraków,2020/2021,Chuca,,89,67227812,€ 53.000,€ 1.800,2022-06-30,Spain,52,58,MC,2020-11-23,13,12,12,10,11,9,6,9,4,10,13,10,9,13,3,10,9,10,11,12,13,11,7,11,10,13,13,10,13,13,12,9,8,11,10,7
2,2020-10-28,Wisła Kraków 1 - 3 Lechia Gdańsk,Wisła Kraków,Chuca,93:22,"10777,50","31,03","6,93",65,"186,94","820,12","1759,77","4485,16","3498,99","26,52",12494_filter_live_1.pdf,False,8,57,2020-10-28 Wisła Kraków 1 - 3 Lechia Gdańsk,2020/2021,Chuca,,89,67227812,€ 53.000,€ 1.800,2022-06-30,Spain,52,58,MC,2020-11-23,13,12,12,10,11,9,6,9,4,10,13,10,9,13,3,10,9,10,11,12,13,11,7,11,10,13,13,10,13,13,12,9,8,11,10,7
3,2020-11-28,Wisła Kraków 1 - 2 KGHM Zagłębie Lubin,Wisła Kraków,Chuca,18:15,"2174,57","28,69","7,15",12,"44,35","152,24","470,71","808,36","695,60","3,31",12534_filter_live_1.pdf,False,3,9,2020-11-28 Wisła Kraków 1 - 2 KGHM Zagłębie Lubin,2020/2021,Chuca,,89,67227812,€ 53.000,€ 1.800,2022-06-30,Spain,52,58,MC,2020-11-23,13,12,12,10,11,9,6,9,4,10,13,10,9,13,3,10,9,10,11,12,13,11,7,11,10,13,13,10,13,13,12,9,8,11,10,7
4,2020-09-13,Pogoń Szczecin 2 - 2 Wisła Kraków,Wisła Kraków,Chuca,85:20,"10190,62","29,34","7,16",60,"86,14","809,50","1886,77","4355,20","3011,58","41,43",12468_filter_live_1.pdf,False,7,53,2020-09-13 Pogoń Szczecin 2 - 2 Wisła Kraków,2020/2021,Chuca,,89,67227812,€ 53.000,€ 1.800,2022-06-30,Spain,52,58,MC,2020-11-23,13,12,12,10,11,9,6,9,4,10,13,10,9,13,3,10,9,10,11,12,13,11,7,11,10,13,13,10,13,13,12,9,8,11,10,7
5,2020-11-21,Warta Poznań 2 - 1 Wisła Kraków,Wisła Kraków,Chuca,72:58,"8414,37","30,36","6,92",43,"122,89","495,08","1346,71","3688,96","2679,54","81,19",12528_filter_live_1.pdf,False,9,34,2020-11-21 Warta Poznań 2 - 1 Wisła Kraków,2020/2021,Chuca,,89,67227812,€ 53.000,€ 1.800,2022-06-30,Spain,52,58,MC,2020-11-23,13,12,12,10,11,9,6,9,4,10,13,10,9,13,3,10,9,10,11,12,13,11,7,11,10,13,13,10,13,13,12,9,8,11,10,7
6,2021-02-19,Wisła Kraków 2 - 1 Pogoń Szczecin,Wisła Kraków,Chuca,5:10,"782,79","30,58","9,09",7,"29,61","84,04","252,59","250,51","164,87","1,17",12609_filter_live_1.pdf,False,1,6,2021-02-19 Wisła Kraków 2 - 1 Pogoń Szczecin,2020/2021,Chuca,,89,67227812,€ 53.000,€ 1.800,2022-06-30,Spain,52,58,MC,2020-11-23,13,12,12,10,11,9,6,9,4,10,13,10,9,13,3,10,9,10,11,12,13,11,7,11,10,13,13,10,13,13,12,9,8,11,10,7
7,2020-11-08,Raków Częstochowa 0 - 0 Wisła Kraków,Wisła Kraków,Chuca,96:54,"9877,46","29,12","6,12",52,"87,76","554,73","1745,20","4049,85","2833,90","606,02",12518_filter_live_1.pdf,False,7,45,2020-11-08 Raków Częstochowa 0 - 0 Wisła Kraków,2020/2021,Chuca,,89,67227812,€ 53.000,€ 1.800,2022-06-30,Spain,52,58,MC,2020-11-23,13,12,12,10,11,9,6,9,4,10,13,10,9,13,3,10,9,10,11,12,13,11,7,11,10,13,13,10,13,13,12,9,8,11,10,7
8,2020-09-18,Wisła Kraków 0 - 3 Wisła Płock,Wisła Kraków,Chuca,47:51,"5605,87","31,70","7,03",30,"56,17","397,65","919,44","2491,75","1487,23","253,63",12479_filter_live_1.pdf,False,3,27,2020-09-18 Wisła Kraków 0 - 3 Wisła Płock,2020/2021,Chuca,,89,67227812,€ 53.000,€ 1.800,2022-06-30,Spain,52,58,MC,2020-11-23,13,12,12,10,11,9,6,9,4,10,13,10,9,13,3,10,9,10,11,12,13,11,7,11,10,13,13,10,13,13,12,9,8,11,10,7
9,2020-10-24,Wisła Kraków 3 - 0 Podbeskidzie Bielsko - Biała,Wisła Kraków,Chuca,98:26,"11042,37","30,28","6,73",64,"216,03","817,50","2052,57","4351,44","3540,34","64,49",12510_filter_live_1.pdf,False,9,55,2020-10-24 Wisła Kraków 3 - 0 Podbeskidzie Bielsko - Biała,2020/2021,Chuca,,89,67227812,€ 53.000,€ 1.800,2022-06-30,Spain,52,58,MC,2020-11-23,13,12,12,10,11,9,6,9,4,10,13,10,9,13,3,10,9,10,11,12,13,11,7,11,10,13,13,10,13,13,12,9,8,11,10,7
