,Player Name
0,Lis M.
1,Klemenz L.
2,Niepsuj D.
3,Janicki R.
4,Sadlok M.
5,Wojtkowski K.
6,Chuca
7,Boguski R.
8,Hołownia M.
9,Basha V.
10,Turgeman A.
11,Buksa A.
12,Pawłowski D.
13,Tupta L.
14,Kozioł M.
15,Gardawski M.
16,Kovacević A.
17,Tzimopoulos T.
18,Szymusik G.
19,Forsell P.
20,Żubrowski J.
21,Szelągowski D.
22,Cebula M.
23,Radin M.
24,Kiełb J.
25,Kaczmarski I.
26,Długosz W.
27,Spychała M.
56,Kamiński K.
57,Uryga A.
58,Rzeźniczak J.
59,Vallo K.
60,Garcia A.
61,Szwoch M.
62,Lesniak F.
63,Kocyła D.
64,Adamczyk H.
65,Rasak D.
66,Tuszyński P.
67,Lewandowski M.
68,Lagator D.
69,Tomasik P.
70,Susnjara L.
71,Plach F.
72,Rymaniak B.
73,Huk T.
74,Czerwiński J.
75,Konczkowski M.
76,Badia G.
77,Chrapek M.
78,Jodłowiec T.
79,Pyrka A.
80,Sokołowski P.
81,Świerczok J.
82,Lipski P.
83,Vida K.
84,Żyro M.
85,Steczyk D.
142,Strączek R.
143,Flis M.
144,Czorbadżijski B.
145,De Amo J.
146,Getinger K.
147,Tomasiewicz G.
148,Matras M.
149,Urbańczyk M.
150,Granlund A.
152,Domański M.
153,Dadok R.
154,Kolew A.
155,Prokić A.
156,Mak M.
157,Stipica D.
158,Mata L.
159,Triantafyllopoulos K.
160,Malec M.
161,Bartkowski J.
162,Dąbrowski D.
163,Kowalczyk S.
164,Kurzawa R.
165,Kucharczyk M.
166,Drygas K.
167,Benedyczak A.
168,Smoliński K.
169,Podstawski T.
170,Zahović L.
171,Hostikka S.
172,Fornalczyk M.
173,Putnocky M.
174,Musonda L.
175,Puerto I.
176,Stiglec D.
177,Tamas M.
178,Żivulić D.
179,Marković F.
180,Łabojko J.
181,Pich R.
182,Płacheta P.
183,Exposito E.
184,Bergier S.
185,Dankowski K.
186,Gąska D.
188,Matynia H.
191,Zech B.
193,Listkowski M.
197,Frączczak A.
198,Turski H.
200,Żurawski M.
257,Holec D.
258,Arsenić Z.
259,Niewulis A.
260,Piątkowski K.
261,Kun P.
263,Tijanić D.
264,Lopez I.
265,Tudor F.
266,Poletanović M.
267,Gutkovskis V.
268,Wdowiak M.
270,Schwarz P.
271,Arak J.
275,Mokwa T.
285,Alves T.
315,Bednarek F.
316,Butko B.
317,Dejewski T.
318,Satka L.
319,Kraweć W.
320,Moder J.
321,Tiba P.
322,Ramirez D.
323,Kamiński J.
324,Puchacz T.
325,Awwad M.
326,Czerwiński A.
327,Sobol H.
328,Marchwiński F.
330,Burliga Ł.
332,Szot D.
333,Mehremić A.
334,Savić S.
335,Plewka P.
336,Żukow G.
337,Silva J.
338,Yeboah Y.
339,Brown Forbes F.
340,Błaszczykowski J.
341,Abramowicz D.
493,Beqiraj F.
499,Pawelec M.
501,Celeban P.
502,Golla W.
503,Sobota W.
507,Praszelik M.
508,Piasecki F.
509,Scalet M.
510,Pałaszewski M.
511,Samiec-Talar P.
512,Bargiel P.
513,Boruc A.
514,Wieteska M.
515,Szabanow A.
516,Juranović J.
517,Kapustka B.
518,Slisz B.
519,Mladenović F.
520,Luquinhas
521,Martins A.
522,Wszołek P.
523,Lopes R.
524,Gwilia W.
525,Pekhart T.
526,Lis A.
527,Ławniczak A.
528,Ivanov R.
529,Grzesik J.
531,Baku M.
532,Kupczak M.
534,Czyżycki M.
535,Kuzimski M.
536,Zrelak A.
537,Rybicki M.
570,Kieliba B.
571,Kuzdra J.
575,Jakóbowski M.
576,Trałka Ł.
577,Jaroch G.
580,Laskowski A.
581,Kuciak D.
582,Fila K.
583,Nalepa M.
584,Kopacz B.
585,Pietrzak R.
586,Mihalik J.
587,Gajos M.
588,Kubicki J.
589,Makowski T.
590,Paixao F.
591,Zwoliński Ł.
592,Kałuziński J.
593,Udovicić Ż.
594,Haydary O.
627,Kirkeskov M.
628,Milewski S.
635,Holubek J.
643,Zbozień D.
644,Obradović M.
648,Pyrdoł P.
649,Sheridan C.
650,Gjertsen T.
651,Cabrera A.
654,Szumski J.
656,Wilusz M.
657,Petrasek T.
661,Sapała I.
665,Bartl D.
669,Malinowski P.
673,Michalski D.
681,Szumilas W.
682,Pawlak A.
741,Chudy M.
742,Paluszek A.
743,Gryszkiewicz A.
744,Wiśniewski P.
745,Janża E.
746,Masouras G.
747,Kubica K.
748,Manneh A.
749,Nowak B.
750,Sobczyk A.
751,Jimenez J.
752,Krawczyk P.
753,Wojtuszek N.
754,Evangelou S.
755,Boakye R.
762,Jankowski M.
768,Zjawiński Ł.
771,Lisowski W.
804,Tobers K.
805,Saief K.
806,Kryeziu E.
807,Żukowski M.
815,Conrado
947,Stec D.
948,Kozłowski K.
950,Gorgon A.
959,Pesković M.
960,Gach K.
961,Baszłaj D.
962,Rundić M.
963,Modelski F.
964,Rzuchowski M.
965,Sitek M.
966,Sierpina Ł.
967,Nowak T.
968,Roginić M.
969,Biliński K.
970,Miakuszko S.
971,Mroczko S.
1088,Prochazka R.
1089,Ściślak D.
1096,Michalski K.
1097,Rostkowski M.
1113,Niemczycki K.
1114,Rodin M.
1115,Sadiković D.
1116,Zaucha P.
1117,Rapa C.
1118,Marquez I.
1119,Dimun M.
1120,van Amersfoort P.
