,id,firstName,lastName,club,values,wages,contractexpires,nation,currentAbility,potentialAbility,position,version,date,corners,crossing,dribbling,finishing,firstTouch,freeKickTaking,heading,longShots,longThrows,marking,passing,penaltyTaking,tackling,technique,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,offtheBall,positioning,teamwork,vision,workRate,acceleration,agility,balance,jumpingReach,naturalFitness,pace,stamina,strength
0,13158403,Yaw,Yeboah,Wisła Kraków,€ 309.587,€ 2.340,2023-06-30,Ghana,59,65,MR,22,2021-11-8,11,11,15,10,12,12,8,12,7,5,12,12,4,14,8,9,12,13,11,11,15,15,3,11,4,12,12,12,15,14,13,8,15,15,8,8
1,13158403,Yaw,Yeboah,Wisła Kraków,€ 62.000,€ 2.200,2023-06-30,Ghana,54,63,MR,21,2020-11-23,10,11,13,9,12,13,8,12,7,5,12,6,4,13,8,12,12,10,11,11,15,10,3,11,4,11,13,13,14,14,11,8,15,14,8,8
2,14181107,Andres,Lioi,Deportes Iberia,€ 100.798,€ 3.000,2023-12-31,Argentina,48,54,MR,22,2021-11-8,10,12,13,12,11,10,8,10,5,10,12,9,10,13,10,12,5,12,11,11,11,10,11,13,11,11,12,12,10,11,10,9,12,12,9,10
3,14181107,Andres,Lioi,Club Atlético Rosario Central,€ 500.000,€ 1.600,2021-06-30,Argentina,50,56,MR,21,2020-11-23,9,10,14,12,11,9,8,10,2,10,12,4,11,13,5,9,10,10,9,15,11,11,4,14,8,10,14,11,10,11,10,8,18,12,10,10
4,155141,Cillian,Sheridan,Dundee,€ 58.300,€ 1.170,2023-05-31,Republic of Ireland,49,58,ST,22,2021-11-8,4,9,9,11,8,8,14,9,4,6,12,11,6,11,13,13,12,12,13,12,12,7,8,12,10,16,10,16,9,8,14,15,13,9,14,13
5,155141,Cillian,Sheridan,Wisła Płock,€ 29.000,€ 2.100,2021-06-30,Republic of Ireland,52,58,ST,21,2020-11-23,4,9,9,11,8,8,14,9,4,6,12,11,7,11,13,13,12,12,13,12,12,7,8,12,10,16,10,16,10,8,15,15,13,10,14,14
6,16003912,Alexander,Gorgon,Pogoń,€ sale,€ 4.200,2023-06-30,Austria,59,67,MR,22,2021-11-8,8,10,13,12,12,9,13,13,9,7,12,13,8,13,9,12,12,11,9,11,11,12,13,13,8,10,11,13,12,11,13,11,11,12,11,11
7,16003912,Alexander,Gorgon,Pogoń Szczecin,€ 425.000,€ 4.200,2023-06-30,Austria,62,67,MR,21,2020-11-23,8,10,13,12,12,9,13,13,9,7,12,13,8,14,9,12,12,11,9,12,13,12,15,14,8,10,11,14,13,12,13,11,13,12,12,13
8,16024102,Benedikt,Zech,Pogoń,€ 227.288,€ 3.030,2022-06-30,Austria,59,59,DR,22,2021-11-8,5,5,9,7,10,6,13,4,9,13,12,7,14,10,12,11,12,10,10,12,14,8,11,11,14,12,9,14,12,14,13,14,14,11,14,14
9,16024102,Benedikt,Zech,Pogoń Szczecin,€ 205.000,€ 3.100,2022-06-30,Austria,58,59,DR,21,2020-11-23,5,5,9,7,10,6,13,4,9,13,11,7,14,10,12,11,12,10,10,12,14,8,11,11,13,12,8,14,11,14,13,14,14,11,14,14
10,16096611,David,Stec,TSV Hartberg,€ 497.865,€ 2.400,2023-06-30,Austria,54,56,DR,22,2021-11-8,6,10,11,7,11,8,8,6,8,10,14,7,9,11,13,11,12,12,11,9,13,8,7,11,10,13,9,12,15,11,11,12,12,13,13,12
11,16096611,David,Stec,Pogoń Szczecin,€ 33.500,€ 1.700,2021-06-30,Austria,53,56,DR,21,2020-11-23,6,10,11,7,11,8,8,6,8,10,14,7,9,11,13,11,12,11,10,9,13,8,7,11,9,13,9,12,15,11,11,12,12,13,13,12
12,16162483,Alex,Sobczyk,Górnik,€ 120.152,€ 1.750,2023-06-30,Austria,52,57,ST,22,2021-11-8,7,9,9,12,14,6,11,12,7,8,9,6,8,10,7,12,10,11,11,11,12,7,6,14,8,13,11,14,12,10,11,14,9,11,11,10
13,16162483,Alex,Sobczyk,Górnik Zabrze,€ 41.000,€ 1.200,2023-06-30,Austria,48,53,ST,21,2020-11-23,7,9,9,12,14,6,11,12,7,8,9,6,8,10,7,12,10,8,9,10,12,7,6,14,8,13,9,14,12,9,10,14,9,11,9,10
14,17012660,Fedor,Cernych,Jagiellonia,€ 169.540,€ 2.190,2023-06-30,Lithuania,53,59,AMR,22,2021-11-8,9,10,12,12,11,7,12,10,7,7,9,14,7,13,11,12,12,10,12,10,11,8,8,13,5,15,12,15,12,13,12,11,14,12,12,11
15,17012660,Fedor,Cernych,Jagiellonia Białystok,€ 145.000,€ 2.500,2023-06-30,Lithuania,54,59,AMR,21,2020-11-23,9,10,12,12,11,7,12,10,7,7,9,14,7,13,11,12,12,10,12,10,11,8,8,13,5,15,12,15,12,13,12,11,14,12,13,11
