,Player Name,Season,Team Name,ID,Fminside Link
0,Mateusz Lis ,2020/2021,Wisła Kraków,0,https://fminside.net/players/2-fm-22/96075388-mateusz-lis
1,Lukas Klemenz ,2020/2021,Wisła Kraków,1,https://fminside.net/players/2-fm-22/96054982-lukas-klemenz
2,David Niepsuj ,2020/2021,Wisła Kraków,2,https://fminside.net/players/2-fm-22/91142977-david-niepsuj
3,Rafal Janicki ,2020/2021,Wisła Kraków,3,https://fminside.net/players/2-fm-22/96017945-rafal-janicki
4,Maciej Sadlok ,2020/2021,Wisła Kraków,4,https://fminside.net/players/2-fm-22/54007366-maciej-sadlok
5,Kamil Wojtkowski ,2020/2021,Wisła Kraków,5,https://fminside.net/players/2-fm-22/96080078-kamil-wojtkowski
6,Chuca ,2020/2021,Wisła Kraków,6,https://fminside.net/players/67227812-chuca
7,Rafal Boguski ,2020/2021,Wisła Kraków,7,https://fminside.net/players/2-fm-22/721140-rafal-boguski
8,Mateusz Holownia ,2020/2021,Wisła Kraków,8,https://fminside.net/players/2-fm-22/96067536-mateusz-holownia
9,Vullnet Basha ,2020/2021,Wisła Kraków,9,https://fminside.net/players/69002759-vullnet-basha
10,Alon Turgeman ,2020/2021,Wisła Kraków,10,https://fminside.net/players/2-fm-22/42022993-alon-turgeman
11,Adam Buksa ,2020/2021,Wisła Kraków,11,https://fminside.net/players/2-fm-22/96055358-adam-buksa
12,Dariusz Pawlowski ,2020/2021,Wisła Kraków,12,https://fminside.net/players/2-fm-22/96113781-dariusz-pawlowski
13,Lubomir Tupta ,2020/2021,Wisła Kraków,13,https://fminside.net/players/2-fm-22/43206262-lubomir-tupta
14,Marek Koziol ,2020/2021,Korona Kielce,14,https://fminside.net/players/96008867-marek-koziol
15,Michael Gardawski ,2020/2021,Korona Kielce,15,https://fminside.net/players/35014356-michael-gardawski
16,Adnan Kovacevic ,2020/2021,Korona Kielce,16,https://fminside.net/players/2-fm-22/62076853-adnan-kovacevic
17,Themistoklis Tzimopoulos ,2020/2021,Korona Kielce,17,https://fminside.net/players/690943-themistoklis-tzimopoulos
18,Grzegorz Szymusik ,2020/2021,Korona Kielce,18,https://fminside.net/players/96092190-grzegorz-szymusik
19,Petteri Forsell ,2020/2021,Korona Kielce,19,https://fminside.net/players/33004450-petteri-forsell
20,Jakub Zubrowski ,2020/2021,Korona Kielce,20,https://fminside.net/players/2-fm-22/96029283-jakub-zubrowski
21,Daniel Szelagowski ,2020/2021,Korona Kielce,21,https://fminside.net/players/2-fm-22/96159204-daniel-szelagowski
22,Marcin Cebula ,2020/2021,Korona Kielce,22,https://fminside.net/players/96047865-marcin-cebula
23,Milan Radin ,2020/2021,Korona Kielce,23,https://fminside.net/players/62073136-milan-radin
24,Jakub Kielb ,2020/2021,Korona Kielce,24,https://fminside.net/players/2-fm-22/96025073-jakub-kielb
25,Iwo Kaczmarski ,2020/2021,Korona Kielce,25,https://fminside.net/players/2-fm-22/2000012809-iwo-kaczmarski
26,Wiktor Dlugosz ,2020/2021,Korona Kielce,26,https://fminside.net/players/2-fm-22/96117528-wiktor-dlugosz
27,Mateusz Spychala ,2020/2021,Korona Kielce,27,https://fminside.net/players/2-fm-22/96075389-mateusz-spychala
56,Krzysztof Kaminski ,2020/2021,Wisła Płock,28,https://fminside.net/players/2-fm-22/2000047409-krzysztof-kaminski
57,Alan Uryga ,2020/2021,Wisła Płock,29,https://fminside.net/players/2-fm-22/96016172-alan-uryga
58,Jakub Rzezniczak ,2020/2021,Wisła Płock,30,https://fminside.net/players/2-fm-22/717396-jakub-rzezniczak
59,Kristian Vallo ,2020/2021,Wisła Płock,31,https://fminside.net/players/63029352-kristian-vallo
60,Ángel García ,2020/2021,Wisła Płock,32,https://fminside.net/players/51075435-angel-garcia
61,Mateusz Szwoch ,2020/2021,Wisła Płock,33,https://fminside.net/players/2-fm-22/96048606-mateusz-szwoch
62,Filip Lesniak ,2020/2021,Wisła Płock,34,https://fminside.net/players/28088511-filip-lesniak
63,Dawid Kocyla ,2020/2021,Wisła Płock,35,https://fminside.net/players/2-fm-22/96150940-dawid-kocyla
64,Hubert Adamczyk ,2020/2021,Wisła Płock,36,https://fminside.net/players/2-fm-22/28100044-hubert-adamczyk
65,Damian Rasak ,2020/2021,Wisła Płock,37,https://fminside.net/players/96052943-damian-rasak
66,Patryk Tuszynski ,2020/2021,Wisła Płock,38,https://fminside.net/players/2-fm-22/96000017-patryk-tuszynski
67,Michal Lewandowski ,2020/2021,Wisła Płock,39,https://fminside.net/players/2-fm-22/43206211-michal-lewandowski
68,Dusan Lagator ,2020/2021,Wisła Płock,40,https://fminside.net/players/62108811-duan-lagator
69,Piotr Tomasik ,2020/2021,Wisła Płock,41,https://fminside.net/players/54005708-piotr-tomasik
70,Luka Susnjara ,2020/2021,Wisła Płock,42,https://fminside.net/players/62154504-luka-susnjara
