,Date,Match Details,club,Player Name,MinsPlayed,TotalDistance(m),TopSpeed(km/h),AvgSpeed(km/h),HighIntensityActivity,Sprints(> 25.20 km/h)Dist (m),HSR(19.81-25.20 km/h)Dist (m),Distance (m)14.41-19.80km/h,7.21-14.40km/h,0.73-7.20km/h,< 0.72km/h,PDF Name,Young Player,Sprints(> 25.20 km/h) No,HSR(19.81-25.20 km/h) No,Key,season,lastName,firstName,Unnamed: 0,id,values,wages,contractexpires,nation,currentAbility,potentialAbility,position,date,aerialReach,commandofArea,communication,eccentricity,firstTouch,handling,kicking,oneonOnes,passing,punchingTendency,reflexes,rushingoutTendency,throwing,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,offtheBall,positioning,teamwork,vision,workRate,acceleration,agility,balance,jumpingReach,naturalFitness,pace,stamina,strength,freeKickTaking,penaltyTaking,technique
0,2020-07-11,Wisła Kraków 1 - 1 Korona Kielce,Wisła Kraków,Lis M.,98:01,"4421,99","23,17","2,71",5,"0,00","39,98","180,18","685,10","3432,52","84,21",12429_filter_live_1.pdf,False,0,5,2020-07-11 Wisła Kraków 1 - 1 Korona Kielce,2020/2021,Lis,M.,13,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62,GK,2020-11-23,14,12,12,6,10,13,11,13,11,16,14,13,11,5,11,11,8,9,10,13,5,12,6,11,10,11,9,11,12,12,17,10,11,8,10,7,3,9
1,2020-12-19,Lech Poznań 0 - 1 Wisła Kraków,Wisła Kraków,Lis M.,95:20,"5466,49","21,98","3,44",2,"0,00","14,89","247,02","982,62","4116,65","105,31",12555_filter_live_1.pdf,False,0,2,2020-12-19 Lech Poznań 0 - 1 Wisła Kraków,2020/2021,Lis,M.,13,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62,GK,2020-11-23,14,12,12,6,10,13,11,13,11,16,14,13,11,5,11,11,8,9,10,13,5,12,6,11,10,11,9,11,12,12,17,10,11,8,10,7,3,9
2,2020-08-29,Wisła Kraków 1 - 3 Śląsk Wrocław,Wisła Kraków,Lis M.,96:54,"4890,53","22,72","3,03",2,"0,00","18,37","178,41","824,83","3803,77","65,15",12460_filter_live_1.pdf,False,0,2,2020-08-29 Wisła Kraków 1 - 3 Śląsk Wrocław,2020/2021,Lis,M.,13,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62,GK,2020-11-23,14,12,12,6,10,13,11,13,11,16,14,13,11,5,11,11,8,9,10,13,5,12,6,11,10,11,9,11,12,12,17,10,11,8,10,7,3,9
3,2021-05-01,Legia Warszawa 0 - 0 Wisła Kraków,Wisła Kraków,Lis M.,93:08,"5059,84","21,38","3,26",0,"0,00","0,00","111,03","870,37","4027,01","42,48",12699_filter_live_1.pdf,False,0,0,2021-05-01 Legia Warszawa 0 - 0 Wisła Kraków,2020/2021,Lis,M.,13,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62,GK,2020-11-23,14,12,12,6,10,13,11,13,11,16,14,13,11,5,11,11,8,9,10,13,5,12,6,11,10,11,9,11,12,12,17,10,11,8,10,7,3,9
4,2020-10-18,PGE FKS Stal Mielec 0 - 6 Wisła Kraków,Wisła Kraków,Lis M.,90:23,"5328,82","24,00","3,54",4,"0,00","38,03","208,34","993,35","4028,58","60,52",12502_filter_live_1.pdf,False,0,4,2020-10-18 PGE FKS Stal Mielec 0 - 6 Wisła Kraków,2020/2021,Lis,M.,13,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62,GK,2020-11-23,14,12,12,6,10,13,11,13,11,16,14,13,11,5,11,11,8,9,10,13,5,12,6,11,10,11,9,11,12,12,17,10,11,8,10,7,3,9
5,2021-03-21,Wisła Kraków 3 - 1 PGE FKS Stal Mielec,Wisła Kraków,Lis M.,96:01,"5548,46","25,11","3,47",3,"0,00","41,43","158,87","1098,39","4237,12","12,65",12646_filter_live_1.pdf,False,0,3,2021-03-21 Wisła Kraków 3 - 1 PGE FKS Stal Mielec,2020/2021,Lis,M.,13,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62,GK,2020-11-23,14,12,12,6,10,13,11,13,11,16,14,13,11,5,11,11,8,9,10,13,5,12,6,11,10,11,9,11,12,12,17,10,11,8,10,7,3,9
6,2020-11-28,Wisła Kraków 1 - 2 KGHM Zagłębie Lubin,Wisła Kraków,Lis M.,94:49,"5175,99","23,97","3,28",3,"0,00","36,78","193,01","1116,25","3792,80","37,15",12534_filter_live_1.pdf,False,0,3,2020-11-28 Wisła Kraków 1 - 2 KGHM Zagłębie Lubin,2020/2021,Lis,M.,13,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62,GK,2020-11-23,14,12,12,6,10,13,11,13,11,16,14,13,11,5,11,11,8,9,10,13,5,12,6,11,10,11,9,11,12,12,17,10,11,8,10,7,3,9
7,2020-09-13,Pogoń Szczecin 2 - 2 Wisła Kraków,Wisła Kraków,Lis M.,96:45,"4720,19","24,22","2,93",0,"0,00","0,00","135,60","794,58","3674,72","109,74",12468_filter_live_1.pdf,False,0,0,2020-09-13 Pogoń Szczecin 2 - 2 Wisła Kraków,2020/2021,Lis,M.,13,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62,GK,2020-11-23,14,12,12,6,10,13,11,13,11,16,14,13,11,5,11,11,8,9,10,13,5,12,6,11,10,11,9,11,12,12,17,10,11,8,10,7,3,9
8,2020-11-21,Warta Poznań 2 - 1 Wisła Kraków,Wisła Kraków,Lis M.,94:29,"4924,12","29,01","3,13",2,"0,00","25,61","154,17","793,81","3904,73","45,80",12528_filter_live_1.pdf,False,0,2,2020-11-21 Warta Poznań 2 - 1 Wisła Kraków,2020/2021,Lis,M.,13,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62,GK,2020-11-23,14,12,12,6,10,13,11,13,11,16,14,13,11,5,11,11,8,9,10,13,5,12,6,11,10,11,9,11,12,12,17,10,11,8,10,7,3,9
9,2021-02-19,Wisła Kraków 2 - 1 Pogoń Szczecin,Wisła Kraków,Lis M.,96:34,"5953,86","19,89","3,70",0,"0,00","0,00","198,65","1268,28","4449,36","37,57",12609_filter_live_1.pdf,False,0,0,2021-02-19 Wisła Kraków 2 - 1 Pogoń Szczecin,2020/2021,Lis,M.,13,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62,GK,2020-11-23,14,12,12,6,10,13,11,13,11,16,14,13,11,5,11,11,8,9,10,13,5,12,6,11,10,11,9,11,12,12,17,10,11,8,10,7,3,9
