,Date,Match Details,club,Player Name,MinsPlayed,TotalDistance(m),TopSpeed(km/h),AvgSpeed(km/h),HighIntensityActivity,Sprints(> 25.20 km/h)Dist (m),HSR(19.81-25.20 km/h)Dist (m),Distance (m)14.41-19.80km/h,7.21-14.40km/h,0.73-7.20km/h,< 0.72km/h,PDF Name,Young Player,Sprints(> 25.20 km/h) No,HSR(19.81-25.20 km/h) No,Key,season,lastName,firstName,Unnamed: 0,id,values,wages,contractexpires,nation,currentAbility,potentialAbility,position,date,corners,crossing,dribbling,finishing,firstTouch,freeKickTaking,heading,longShots,longThrows,marking,passing,penaltyTaking,tackling,technique,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,offtheBall,positioning,teamwork,vision,workRate,acceleration,agility,balance,jumpingReach,naturalFitness,pace,stamina,strength
0,2020-07-11,Wisła Kraków 1 - 1 Korona Kielce,Wisła Kraków,Klemenz L.,98:01,"10382,02","31,88","6,36",52,"154,30","543,37","2000,07","4078,93","3574,95","30,40",12429_filter_live_1.pdf,False,6,46,2020-07-11 Wisła Kraków 1 - 1 Korona Kielce,2020/2021,Klemenz,L.,669,96054982,€ 27.500,€ 1.000,2021-06-30,Poland,52,58,DR,2020-11-23,6,11,7,7,11,10,12,8,9,11,10,8,13,9,11,12,13,9,7,12,9,6,9,10,13,15,12,12,9,8,13,15,12,10,10,15
1,2020-12-19,Lech Poznań 0 - 1 Wisła Kraków,Wisła Kraków,Klemenz L.,95:20,"10427,18","29,62","6,56",60,"93,24","857,08","2145,57","3830,29","3441,46","59,54",12555_filter_live_1.pdf,False,5,55,2020-12-19 Lech Poznań 0 - 1 Wisła Kraków,2020/2021,Klemenz,L.,669,96054982,€ 27.500,€ 1.000,2021-06-30,Poland,52,58,DR,2020-11-23,6,11,7,7,11,10,12,8,9,11,10,8,13,9,11,12,13,9,7,12,9,6,9,10,13,15,12,12,9,8,13,15,12,10,10,15
2,2020-08-29,Wisła Kraków 1 - 3 Śląsk Wrocław,Wisła Kraków,Klemenz L.,96:54,"10290,26","30,67","6,37",46,"79,44","601,84","1897,03","3598,37","4076,68","36,90",12460_filter_live_1.pdf,False,4,42,2020-08-29 Wisła Kraków 1 - 3 Śląsk Wrocław,2020/2021,Klemenz,L.,669,96054982,€ 27.500,€ 1.000,2021-06-30,Poland,52,58,DR,2020-11-23,6,11,7,7,11,10,12,8,9,11,10,8,13,9,11,12,13,9,7,12,9,6,9,10,13,15,12,12,9,8,13,15,12,10,10,15
3,2020-09-13,Pogoń Szczecin 2 - 2 Wisła Kraków,Wisła Kraków,Klemenz L.,47:03,"4959,44","28,98","6,32",19,"49,86","277,92","969,43","1860,36","1628,66","173,21",12468_filter_live_1.pdf,False,3,16,2020-09-13 Pogoń Szczecin 2 - 2 Wisła Kraków,2020/2021,Klemenz,L.,669,96054982,€ 27.500,€ 1.000,2021-06-30,Poland,52,58,DR,2020-11-23,6,11,7,7,11,10,12,8,9,11,10,8,13,9,11,12,13,9,7,12,9,6,9,10,13,15,12,12,9,8,13,15,12,10,10,15
4,2020-09-25,Górnik Zabrze 0 - 0 Wisła Kraków,Wisła Kraków,Klemenz L.,10:00,"980,71","28,40","5,88",6,"30,28","56,48","136,89","357,99","398,01","1,06",12482_filter_live_1.pdf,False,1,5,2020-09-25 Górnik Zabrze 0 - 0 Wisła Kraków,2020/2021,Klemenz,L.,669,96054982,€ 27.500,€ 1.000,2021-06-30,Poland,52,58,DR,2020-11-23,6,11,7,7,11,10,12,8,9,11,10,8,13,9,11,12,13,9,7,12,9,6,9,10,13,15,12,12,9,8,13,15,12,10,10,15
5,2020-07-03,ŁKS Łódź 1 - 2 Wisła Kraków,Wisła Kraków,Klemenz L.,98:05,"10482,23","30,56","6,41",42,"97,16","650,04","1687,76","3803,38","4138,15","105,74",12417_filter_live_1.pdf,False,4,38,2020-07-03 ŁKS Łódź 1 - 2 Wisła Kraków,2020/2021,Klemenz,L.,669,96054982,€ 27.500,€ 1.000,2021-06-30,Poland,52,58,DR,2020-11-23,6,11,7,7,11,10,12,8,9,11,10,8,13,9,11,12,13,9,7,12,9,6,9,10,13,15,12,12,9,8,13,15,12,10,10,15
6,2020-07-14,KGHM Zagłębie Lubin 3 - 1 Wisła Kraków,Wisła Kraków,Klemenz L.,94:21,"10227,48","32,01","6,50",53,"240,07","566,64","1830,20","3885,15","3691,77","13,65",12434_filter_live_1.pdf,False,11,42,2020-07-14 KGHM Zagłębie Lubin 3 - 1 Wisła Kraków,2020/2021,Klemenz,L.,669,96054982,€ 27.500,€ 1.000,2021-06-30,Poland,52,58,DR,2020-11-23,6,11,7,7,11,10,12,8,9,11,10,8,13,9,11,12,13,9,7,12,9,6,9,10,13,15,12,12,9,8,13,15,12,10,10,15
7,2020-07-11,Wisła Kraków 1 - 1 Korona Kielce,Wisła Kraków,Niepsuj D.,98:01,"11031,13","30,21","6,75",83,"251,48","928,76","1766,61","4467,63","3598,23","18,42",12429_filter_live_1.pdf,False,15,68,2020-07-11 Wisła Kraków 1 - 1 Korona Kielce,2020/2021,Niepsuj,D.,493,91142977,€ 33.500,€ 1.500,2021-06-30,Poland,50,55,DR,2020-11-23,3,12,10,3,8,5,10,6,10,11,12,4,12,8,17,12,13,9,11,10,11,12,10,10,9,14,11,15,11,12,11,14,10,11,14,13
8,2020-09-13,Pogoń Szczecin 2 - 2 Wisła Kraków,Wisła Kraków,Niepsuj D.,30:09,"3164,22","29,67","6,30",13,"53,88","129,37","353,30","1308,27","1268,14","51,26",12468_filter_live_1.pdf,False,2,11,2020-09-13 Pogoń Szczecin 2 - 2 Wisła Kraków,2020/2021,Niepsuj,D.,493,91142977,€ 33.500,€ 1.500,2021-06-30,Poland,50,55,DR,2020-11-23,3,12,10,3,8,5,10,6,10,11,12,4,12,8,17,12,13,9,11,10,11,12,10,10,9,14,11,15,11,12,11,14,10,11,14,13
9,2020-11-08,Raków Częstochowa 0 - 0 Wisła Kraków,Wisła Kraków,Niepsuj D.,85:49,"7863,49","33,16","5,50",55,"220,78","655,15","1041,28","2877,25","2359,06","709,97",12518_filter_live_1.pdf,False,10,45,2020-11-08 Raków Częstochowa 0 - 0 Wisła Kraków,2020/2021,Niepsuj,D.,493,91142977,€ 33.500,€ 1.500,2021-06-30,Poland,50,55,DR,2020-11-23,3,12,10,3,8,5,10,6,10,11,12,4,12,8,17,12,13,9,11,10,11,12,10,10,9,14,11,15,11,12,11,14,10,11,14,13
