PDF Name;Date;Match Details;Match Length;Net Playing Time;Net Playing Time (1st half);Net Playing Time (2nd half);Team Name;Possession;Net Poss. Time;Net Poss. Time (1st half);Net Poss. Time (2nd half);Distance (m);Sprints;High Speed Runs;Sprint Distance (m);Top Speed (Player);Top Speed (Young Player);Top Speed (km/h);Max Distance (Player);Max Distance (Young Player);Max Distance (m);Max Sprints (Player);Max Sprints (Young Player);Max Sprints;Key;Season
12429_filter_live_1.pdf;2020-07-11;Wisła Kraków 1 - 1 Korona Kielce;0.1:38:1;0.0:51:54;0.0:24:49;0.0:27:5;Wisła Kraków;41%;0.0:19:51;0.0:11:0;0.0:8:51;104299,43;112;520;2225,82;Hołownia M.;True;32,93;Boguski R.;False;11511,81;Sadlok M.;False;16;2020-07-11 Wisła Kraków 1 - 1 Korona Kielce;2020/2021
12429_filter_live_1.pdf;2020-07-11;Wisła Kraków 1 - 1 Korona Kielce;0.1:38:1;0.0:51:54;0.0:24:49;0.0:27:5;Korona Kielce;59%;0.0:31:41;0.0:13:44;0.0:17:57;109799,93;77;513;1553,42;Gardawski M.;False;31,98;Szelągowski D.;True;11403,7;Gardawski M.;False;14;2020-07-11 Wisła Kraków 1 - 1 Korona Kielce;2020/2021
Miedź Legnica - Śląsk Wrocław (2).pdf;2019-05-14;Miedź Legnica 0 - 2 Śląsk Wrocław;0.1:35:54;0.0:54:2;0.0:27:55;0.0:26:7;Miedź Legnica;60%;0.0:32:29;0.0:15:20;0.0:17:9;111117,04;91;485;1742,17;Szczepaniak M.;False;31,61;Pikk A.;False;11483,2;Camara J.;False;19;2019-05-14 Miedź Legnica 0 - 2 Śląsk Wrocław;2018/2019
Miedź Legnica - Śląsk Wrocław (2).pdf;2019-05-14;Miedź Legnica 0 - 2 Śląsk Wrocław;0.1:35:54;0.0:54:2;0.0:27:55;0.0:26:7;Śląsk Wrocław;40%;0.0:20:26;0.0:11:45;0.0:8:41;111331,21;84;465;1602,6;Broź Ł.;False;32,76;Cholewiak M.;False;11644,35;Cholewiak M.;False;23;2019-05-14 Miedź Legnica 0 - 2 Śląsk Wrocław;2018/2019
12648_filter_live_1.pdf;2021-04-03;Wisła Płock 0 - 1 Piast Gliwice;0.1:35:7;0.0:56:33;0.0:25:14;0.0:31:19;Wisła Płock;58%;0.0:32:18;0.0:13:44;0.0:18:34;116867,99;91;552;1860,35;Adamczyk H.;False;32,24;Lesniak F.;False;12122,52;Vallo K.;False;15;2021-04-03 Wisła Płock 0 - 1 Piast Gliwice;2020/2021
12648_filter_live_1.pdf;2021-04-03;Wisła Płock 0 - 1 Piast Gliwice;0.1:35:7;0.0:56:33;0.0:25:14;0.0:31:19;Piast Gliwice;42%;0.0:23:55;0.0:11:24;0.0:12:31;111173,9;65;477;1081,31;Pyrka A.;True;33,45;Jodłowiec T.;False;11401,46;Steczyk D.;True;9;2021-04-03 Wisła Płock 0 - 1 Piast Gliwice;2020/2021
12244_filter_live_1.pdf;2019-10-27;Legia Warszawa 7 - 0 Wisła Kraków;0.1:31:50;0.0:49:5;0.0:27:27;0.0:21:38;Legia Warszawa;51%;0.0:25:30;0.0:13:3;0.0:12:27;102717,22;112;507;2291,72;Lewczuk I.;False;33,03;Novikovas A.;False;10796,12;Wszołek P.;False;20;2019-10-27 Legia Warszawa 7 - 0 Wisła Kraków;2019/2020
12244_filter_live_1.pdf;2019-10-27;Legia Warszawa 7 - 0 Wisła Kraków;0.1:31:50;0.0:49:5;0.0:27:27;0.0:21:38;Wisła Kraków;49%;0.0:23:5;0.0:14:4;0.0:9:1;102061,36;91;507;1709,52;Klemenz L.;False;31,68;Savicević V.;False;11267,86;Boguski R.;False;11;2019-10-27 Legia Warszawa 7 - 0 Wisła Kraków;2019/2020
Korona Kielce - Wisła Kraków.pdf;2019-03-09;Korona Kielce 2 - 6 Wisła Kraków;0.1:34:32;0.0:45:39;0.0:22:46;0.0:22:53;Korona Kielce;50%;0.0:22:54;0.0:10:48;0.0:12:6;106787,2;107;545;1964,71;Gardawski M.;False;33,14;Pućko M.;False;11046,19;Pućko M.;False;17;2019-03-09 Korona Kielce 2 - 6 Wisła Kraków;2018/2019
Korona Kielce - Wisła Kraków.pdf;2019-03-09;Korona Kielce 2 - 6 Wisła Kraków;0.1:34:32;0.0:45:39;0.0:22:46;0.0:22:53;Wisła Kraków;50%;0.0:21:46;0.0:11:24;0.0:10:22;113907,85;115;599;2132,55;Burliga Ł.;False;33,44;Kolar M.;False;11235,59;Kolar M.;False;22;2019-03-09 Korona Kielce 2 - 6 Wisła Kraków;2018/2019
