firstName,lastName,date,club at date,market value at date
Jadon,Sancho,Borussia Dortmund,"Aug 31, 2017",5.00m
Jadon,Sancho,Borussia Dortmund,"Dec 28, 2017",5.00m
Jadon,Sancho,Borussia Dortmund,"Apr 4, 2018",8.00m
Jadon,Sancho,Borussia Dortmund,"Jun 5, 2018",15.00m
Jadon,Sancho,Borussia Dortmund,"Aug 22, 2018",20.00m
Jadon,Sancho,Borussia Dortmund,"Oct 22, 2018",45.00m
Jadon,Sancho,Borussia Dortmund,"Dec 18, 2018",70.00m
Jadon,Sancho,Borussia Dortmund,"Mar 6, 2019",80.00m
Jadon,Sancho,Borussia Dortmund,"Jun 5, 2019",100.00m
Jadon,Sancho,Borussia Dortmund,"Dec 17, 2019",120.00m
Jadon,Sancho,Borussia Dortmund,"Mar 11, 2020",130.00m
Jadon,Sancho,Borussia Dortmund,"Apr 8, 2020",117.00m
Jadon,Sancho,Borussia Dortmund,"Nov 26, 2020",100.00m
Jadon,Sancho,Borussia Dortmund,"Feb 10, 2021",100.00m
Jadon,Sancho,Borussia Dortmund,"May 28, 2021",100.00m
Jadon,Sancho,Manchester United,"Oct 5, 2021",90.00m
Jadon,Sancho,Manchester United,"Dec 23, 2021",85.00m
Jadon,Sancho,Manchester United,"Mar 29, 2022",80.00m
Mohamed,Salah,El Mokawloon SC,"Jun 6, 2010",25Th.
Mohamed,Salah,El Mokawloon SC,"Jan 1, 2011",25Th.
Mohamed,Salah,El Mokawloon SC,"May 9, 2011",50Th.
Mohamed,Salah,El Mokawloon SC,"Jul 14, 2011",150Th.
Mohamed,Salah,El Mokawloon SC,"Dec 25, 2011",300Th.
Mohamed,Salah,El Mokawloon SC,"May 27, 2012",1.50m
Mohamed,Salah,FC Basel 1893,"Jul 12, 2012",2.50m
Mohamed,Salah,FC Basel 1893,"Sep 5, 2012",4.00m
Mohamed,Salah,FC Basel 1893,"Apr 14, 2013",5.00m
Mohamed,Salah,FC Basel 1893,"Jun 17, 2013",6.50m
Mohamed,Salah,FC Basel 1893,"Nov 26, 2013",8.50m
Mohamed,Salah,Chelsea FC,"Feb 5, 2014",13.00m
Mohamed,Salah,Chelsea FC,"Aug 12, 2014",13.00m
Mohamed,Salah,ACF Fiorentina,"Feb 12, 2015",10.00m
Mohamed,Salah,ACF Fiorentina,"Mar 20, 2015",12.00m
Mohamed,Salah,Chelsea FC,"Jul 1, 2015",18.00m
Mohamed,Salah,AS Roma,"Nov 5, 2015",20.00m
Mohamed,Salah,AS Roma,"Jan 4, 2016",20.00m
Mohamed,Salah,AS Roma,"Apr 1, 2016",23.00m
Mohamed,Salah,AS Roma,"Jul 15, 2016",27.00m
Mohamed,Salah,AS Roma,"Jan 2, 2017",30.00m
Mohamed,Salah,AS Roma,"Jun 8, 2017",35.00m
Mohamed,Salah,Liverpool FC,"Oct 23, 2017",40.00m
Mohamed,Salah,Liverpool FC,"Jan 2, 2018",80.00m
Mohamed,Salah,Liverpool FC,"May 28, 2018",150.00m
Mohamed,Salah,Liverpool FC,"Dec 19, 2018",150.00m
Mohamed,Salah,Liverpool FC,"Jun 13, 2019",150.00m
Mohamed,Salah,Liverpool FC,"Dec 10, 2019",150.00m
Mohamed,Salah,Liverpool FC,"Apr 8, 2020",120.00m
Mohamed,Salah,Liverpool FC,"Oct 13, 2020",120.00m
Mohamed,Salah,Liverpool FC,"Mar 18, 2021",110.00m
Mohamed,Salah,Liverpool FC,"Jun 8, 2021",100.00m
Mohamed,Salah,Liverpool FC,"Dec 23, 2021",100.00m
Erling,Haaland,Bryne FK,"Dec 18, 2016",200Th.
Erling,Haaland,Molde FK,"Dec 23, 2017",300Th.
Erling,Haaland,Molde FK,"Sep 10, 2018",2.00m
Erling,Haaland,Molde FK,"Dec 30, 2018",5.00m
Erling,Haaland,Red Bull Salzburg,"Jun 3, 2019",5.00m
Erling,Haaland,Red Bull Salzburg,"Sep 3, 2019",12.00m
Erling,Haaland,Red Bull Salzburg,"Nov 7, 2019",30.00m
Erling,Haaland,Red Bull Salzburg,"Dec 16, 2019",45.00m
Erling,Haaland,Borussia Dortmund,"Feb 11, 2020",60.00m
Erling,Haaland,Borussia Dortmund,"Mar 11, 2020",80.00m
Erling,Haaland,Borussia Dortmund,"Apr 8, 2020",72.00m
Erling,Haaland,Borussia Dortmund,"Sep 16, 2020",80.00m
Erling,Haaland,Borussia Dortmund,"Nov 26, 2020",100.00m
Erling,Haaland,Borussia Dortmund,"Feb 10, 2021",110.00m
Erling,Haaland,Borussia Dortmund,"Jun 9, 2021",130.00m
Erling,Haaland,Borussia Dortmund,"Oct 7, 2021",150.00m
Erling,Haaland,Borussia Dortmund,"Dec 22, 2021",150.00m
Vinicius,Junior,Clube de Regatas do Flamengo,"Oct 30, 2017",10.00m
Vinicius,Junior,Clube de Regatas do Flamengo,"Dec 7, 2017",20.00m
Vinicius,Junior,Clube de Regatas do Flamengo,"May 23, 2018",35.00m
Vinicius,Junior,Real Madrid,"Dec 21, 2018",35.00m
Vinicius,Junior,Real Madrid,"Feb 28, 2019",70.00m
Vinicius,Junior,Real Madrid,"Jun 11, 2019",70.00m
Vinicius,Junior,Real Madrid,"Dec 20, 2019",50.00m
Vinicius,Junior,Real Madrid,"Apr 8, 2020",45.00m
Vinicius,Junior,Real Madrid,"Oct 8, 2020",50.00m
Vinicius,Junior,Real Madrid,"Jan 5, 2021",40.00m
Vinicius,Junior,Real Madrid,"Jun 10, 2021",40.00m
Vinicius,Junior,Real Madrid,"Oct 13, 2021",50.00m
Vinicius,Junior,Real Madrid,"Dec 30, 2021",100.00m
Mohamed,Salah,El Mokawloon SC,"Jun 6, 2010",25Th.
Mohamed,Salah,El Mokawloon SC,"Jan 1, 2011",25Th.
Mohamed,Salah,El Mokawloon SC,"May 9, 2011",50Th.
Mohamed,Salah,El Mokawloon SC,"Jul 14, 2011",150Th.
Mohamed,Salah,El Mokawloon SC,"Dec 25, 2011",300Th.
Mohamed,Salah,El Mokawloon SC,"May 27, 2012",1.50m
Mohamed,Salah,FC Basel 1893,"Jul 12, 2012",2.50m
Mohamed,Salah,FC Basel 1893,"Sep 5, 2012",4.00m
Mohamed,Salah,FC Basel 1893,"Apr 14, 2013",5.00m
Mohamed,Salah,FC Basel 1893,"Jun 17, 2013",6.50m
Mohamed,Salah,FC Basel 1893,"Nov 26, 2013",8.50m
Mohamed,Salah,Chelsea FC,"Feb 5, 2014",13.00m
Mohamed,Salah,Chelsea FC,"Aug 12, 2014",13.00m
Mohamed,Salah,ACF Fiorentina,"Feb 12, 2015",10.00m
Mohamed,Salah,ACF Fiorentina,"Mar 20, 2015",12.00m
Mohamed,Salah,Chelsea FC,"Jul 1, 2015",18.00m
Mohamed,Salah,AS Roma,"Nov 5, 2015",20.00m
Mohamed,Salah,AS Roma,"Jan 4, 2016",20.00m
Mohamed,Salah,AS Roma,"Apr 1, 2016",23.00m
Mohamed,Salah,AS Roma,"Jul 15, 2016",27.00m
Mohamed,Salah,AS Roma,"Jan 2, 2017",30.00m
Mohamed,Salah,AS Roma,"Jun 8, 2017",35.00m
Mohamed,Salah,Liverpool FC,"Oct 23, 2017",40.00m
Mohamed,Salah,Liverpool FC,"Jan 2, 2018",80.00m
Mohamed,Salah,Liverpool FC,"May 28, 2018",150.00m
Mohamed,Salah,Liverpool FC,"Dec 19, 2018",150.00m
Mohamed,Salah,Liverpool FC,"Jun 13, 2019",150.00m
Mohamed,Salah,Liverpool FC,"Dec 10, 2019",150.00m
Mohamed,Salah,Liverpool FC,"Apr 8, 2020",120.00m
Mohamed,Salah,Liverpool FC,"Oct 13, 2020",120.00m
Mohamed,Salah,Liverpool FC,"Mar 18, 2021",110.00m
Mohamed,Salah,Liverpool FC,"Jun 8, 2021",100.00m
Mohamed,Salah,Liverpool FC,"Dec 23, 2021",100.00m
Harry,Kane,Norwich City,"Nov 15, 2012",500Th.
Harry,Kane,Norwich City,"Jan 28, 2013",500Th.
Harry,Kane,Tottenham Hotspur,"Aug 12, 2014",3.00m
Harry,Kane,Tottenham Hotspur,"Feb 12, 2015",15.00m
Harry,Kane,Tottenham Hotspur,"Jul 1, 2015",25.00m
Harry,Kane,Tottenham Hotspur,"Feb 9, 2016",30.00m
Harry,Kane,Tottenham Hotspur,"Jun 1, 2016",40.00m
Harry,Kane,Tottenham Hotspur,"Aug 1, 2016",40.00m
Harry,Kane,Tottenham Hotspur,"Feb 20, 2017",50.00m
Harry,Kane,Tottenham Hotspur,"Jun 28, 2017",60.00m
Harry,Kane,Tottenham Hotspur,"Oct 23, 2017",80.00m
Harry,Kane,Tottenham Hotspur,"Jan 2, 2018",120.00m
Harry,Kane,Tottenham Hotspur,"May 28, 2018",150.00m
Harry,Kane,Tottenham Hotspur,"Dec 19, 2018",150.00m
Harry,Kane,Tottenham Hotspur,"Jun 13, 2019",150.00m
Harry,Kane,Tottenham Hotspur,"Dec 10, 2019",150.00m
Harry,Kane,Tottenham Hotspur,"Apr 8, 2020",120.00m
Harry,Kane,Tottenham Hotspur,"Oct 13, 2020",120.00m
Harry,Kane,Tottenham Hotspur,"Mar 18, 2021",120.00m
Harry,Kane,Tottenham Hotspur,"May 28, 2021",120.00m
Harry,Kane,Tottenham Hotspur,"Dec 23, 2021",100.00m
Raheem,Sterling,Liverpool FC,"Sep 11, 2012",2.50m
Raheem,Sterling,Liverpool FC,"Jan 28, 2013",11.50m
Raheem,Sterling,Liverpool FC,"Jul 2, 2013",12.50m
Raheem,Sterling,Liverpool FC,"Jan 15, 2014",13.00m
Raheem,Sterling,Liverpool FC,"Aug 12, 2014",20.00m
Raheem,Sterling,Liverpool FC,"Feb 12, 2015",30.00m
Raheem,Sterling,Liverpool FC,"Jul 1, 2015",40.00m
Raheem,Sterling,Manchester City,"Oct 14, 2015",50.00m
Raheem,Sterling,Manchester City,"Feb 9, 2016",50.00m
Raheem,Sterling,Manchester City,"Jun 1, 2016",45.00m
Raheem,Sterling,Manchester City,"Aug 1, 2016",45.00m
Raheem,Sterling,Manchester City,"Feb 20, 2017",45.00m
Raheem,Sterling,Manchester City,"Jun 28, 2017",45.00m
Raheem,Sterling,Manchester City,"Oct 23, 2017",50.00m
Raheem,Sterling,Manchester City,"Jan 2, 2018",80.00m
Raheem,Sterling,Manchester City,"May 28, 2018",90.00m
Raheem,Sterling,Manchester City,"Dec 19, 2018",120.00m
Raheem,Sterling,Manchester City,"Jun 13, 2019",140.00m
Raheem,Sterling,Manchester City,"Dec 10, 2019",160.00m
Raheem,Sterling,Manchester City,"Apr 8, 2020",128.00m
Raheem,Sterling,Manchester City,"Oct 13, 2020",128.00m
Raheem,Sterling,Manchester City,"Dec 17, 2020",110.00m
Raheem,Sterling,Manchester City,"Mar 18, 2021",100.00m
Raheem,Sterling,Manchester City,"May 28, 2021",90.00m
Raheem,Sterling,Manchester City,"Dec 23, 2021",85.00m
pedri,,UD Las Palmas,"Sep 10, 2019",5.00m
pedri,,UD Las Palmas,"Dec 20, 2019",8.00m
pedri,,UD Las Palmas,"Apr 8, 2020",7.20m
pedri,,FC Barcelona,"Oct 8, 2020",15.00m
pedri,,FC Barcelona,"Nov 23, 2020",30.00m
pedri,,FC Barcelona,"Jan 5, 2021",50.00m
pedri,,FC Barcelona,"Mar 19, 2021",70.00m
pedri,,FC Barcelona,"May 31, 2021",70.00m
pedri,,FC Barcelona,"Jul 15, 2021",80.00m
pedri,,FC Barcelona,"Dec 30, 2021",80.00m
Lautaro,Martinez,Racing Club,"Feb 6, 2016",100Th.
Lautaro,Martinez,Racing Club,"Aug 8, 2016",500Th.
Lautaro,Martinez,Racing Club,"Feb 13, 2017",2.50m
Lautaro,Martinez,Racing Club,"Oct 9, 2017",10.00m
Lautaro,Martinez,Racing Club,"May 8, 2018",25.00m
Lautaro,Martinez,Inter Milan,"Dec 20, 2018",25.00m
Lautaro,Martinez,Inter Milan,"Jun 6, 2019",30.00m
Lautaro,Martinez,Inter Milan,"Oct 8, 2019",40.00m
Lautaro,Martinez,Inter Milan,"Dec 12, 2019",80.00m
Lautaro,Martinez,Inter Milan,"Apr 8, 2020",64.00m
Lautaro,Martinez,Inter Milan,"Aug 25, 2020",70.00m
Lautaro,Martinez,Inter Milan,"Dec 29, 2020",70.00m
Lautaro,Martinez,Inter Milan,"Jun 3, 2021",80.00m
Lautaro,Martinez,Inter Milan,"Dec 28, 2021",80.00m
Lautaro,Martinez,Inter Milan,"Mar 15, 2022",70.00m
Jules,Kounde,FC Girondins Bordeaux,"Jan 24, 2018",1.00m
Jules,Kounde,FC Girondins Bordeaux,"Mar 20, 2018",4.00m
